,annual HP,flood extent,no. bare,no. crops,no. grass,no. forests,no. crops and grass,diversity,tile 1,tile 2,tile 3,tile 4,tile 5,tile 6,tile 7,tile 8,tile 9,tile 10,dist. forests,dist. grass,dist. crops,dist. bare,frac. forests,frac. grass,frac. crops,frac. bare
0,36.5116749606997,30.1744247583016,0,10,0,0,10,1,2,2,2,2,2,2,2,2,2,2,,,4.5,,0,0,1,0
1,26.4683146233613,25.5107742128,4,6,0,0,6,1,2,2,3,3,3,3,2,2,2,2,,,5.16666666666667,3.5,0,0,0.6,0.4
2,15.001058451658,17.0279945689063,10,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,,,,4.5,0,0,0,1
3,54.6046857291467,31.2329565786513,1,0,9,0,9,1,1,1,1,1,3,1,1,1,1,1,,4.55555555555556,,4,0,0.9,0,0.1
4,20.9496000696769,17.8222659144998,6,1,0,3,1,2,0,0,3,3,3,3,3,3,0,2,3,,9,4.5,0.3,0,0.1,0.6
5,46.4567127532245,30.6081121043578,3,0,7,0,7,1,1,1,1,1,3,3,3,1,1,1,,4.28571428571429,,5,0,0.7,0,0.3
6,34.1330060894863,29.3615062497056,1,9,0,0,9,1,2,2,2,2,2,3,2,2,2,2,,,4.44444444444444,5,0,0,0.9,0.1
7,41.4135168903599,29.5195087438027,4,0,6,0,6,1,1,1,1,3,3,3,3,1,1,1,,4.5,,4.5,0,0.6,0,0.4
8,17.6070046186152,16.1805679054526,9,0,0,1,0,1,0,3,3,3,3,3,3,3,3,3,0,,,5,0.1,0,0,0.9
9,33.8909336991774,29.3972757148243,1,9,0,0,9,1,2,2,2,2,3,2,2,2,2,2,,,4.55555555555556,4,0,0,0.9,0.1
10,59.9099171774076,31.62887299174,0,0,10,0,10,1,1,1,1,1,1,1,1,1,1,1,,4.5,,,0,1,0,0
11,19.5975172565571,16.3981587513092,8,0,0,2,0,1,0,0,3,3,3,3,3,3,3,3,0.5,,,5.5,0.2,0,0,0.8
12,23.9529160015513,27.0315713064255,4,6,0,0,6,1,3,2,3,3,3,2,2,2,2,2,,,6,2.25,0,0,0.6,0.4
13,50.2651478160282,30.8894587127336,2,0,8,0,8,1,1,1,1,1,3,3,1,1,1,1,,4.5,,4.5,0,0.8,0,0.2
14,29.8663865857036,28.6869058923777,2,8,0,0,8,1,2,3,2,2,2,3,2,2,2,2,,,4.875,3,0,0,0.8,0.2
15,39.5562367266667,29.7260428583401,4,0,6,0,6,1,1,1,3,3,3,3,1,1,1,1,,5.16666666666667,,3.5,0,0.6,0,0.4
16,29.3523855934898,24.2170395487714,3,2,1,4,3,3,1,0,3,3,0,2,3,0,0,2,5,0,7,3.66666666666667,0.4,0.1,0.2,0.3
17,27.8590718185619,21.9973248044925,4,0,1,5,1,2,1,0,0,3,0,3,3,3,0,0,4.8,0,,5.25,0.5,0.1,0,0.4
18,54.9993047665812,31.2178842005364,1,0,9,0,9,1,1,1,1,1,1,3,1,1,1,1,,4.44444444444444,,5,0,0.9,0,0.1
19,19.938099660543,16.8277061877543,7,0,0,3,0,1,0,0,3,3,3,3,3,3,3,0,3.33333333333333,,,5,0.3,0,0,0.7
20,31.1665999313329,28.4097525794977,2,8,0,0,8,1,2,2,2,3,3,2,2,2,2,2,,,4.75,3.5,0,0,0.8,0.2
21,29.5076427372353,24.1459877156317,3,2,1,4,3,3,1,0,3,2,3,0,3,0,0,2,5.25,0,6,4,0.4,0.1,0.2,0.3
22,28.9877992017589,26.9361922084257,3,7,0,0,7,1,2,2,2,3,3,3,2,2,2,2,,,4.71428571428571,4,0,0,0.7,0.3
23,17.9918692976903,21.8829423218767,7,3,0,0,3,1,3,3,3,2,3,3,3,3,2,2,,,6.66666666666667,3.57142857142857,0,0,0.3,0.7
24,37.5110838787286,30.0255947662277,4,0,6,0,6,1,1,3,1,3,3,3,1,1,1,1,,5.33333333333333,,3.25,0,0.6,0,0.4
25,31.4551973206102,28.2872245652013,2,8,0,0,8,1,2,2,2,2,3,3,2,2,2,2,,,4.5,4.5,0,0,0.8,0.2
26,16.7061394479885,17.500169148618,9,0,0,1,0,1,3,0,3,3,3,3,3,3,3,3,1,,,4.88888888888889,0.1,0,0,0.9
27,22.1736985420485,24.4382553581049,4,3,0,3,3,2,3,0,3,3,0,2,3,2,0,2,4.33333333333333,,7,2.75,0.3,0,0.3,0.4
28,19.2906964224018,24.2105921542027,5,2,0,3,2,2,3,3,3,3,0,2,3,0,2,0,6.66666666666667,,6.5,2.4,0.3,0,0.2,0.5
29,16.7221445387026,20.5352048036622,8,1,0,1,1,2,3,3,3,3,3,3,0,2,3,3,6,,7,4,0.1,0,0.1,0.8
30,25.4424776070665,25.5462755831546,4,6,0,0,6,1,2,3,2,3,3,3,2,2,2,2,,,5.33333333333333,3.25,0,0,0.6,0.4
31,31.0033131747744,28.4811459279599,2,8,0,0,8,1,2,2,3,2,2,3,2,2,2,2,,,4.75,3.5,0,0,0.8,0.2
32,40.9533553760093,30.8081764333012,3,0,7,0,7,1,3,1,1,1,3,3,1,1,1,1,,5.14285714285714,,3,0,0.7,0,0.3
33,45.492113525849,30.6243742097069,3,0,7,0,7,1,1,1,1,3,3,3,1,1,1,1,,4.71428571428571,,4,0,0.7,0,0.3
34,27.5911779173325,27.2602891859227,3,7,0,0,7,1,2,3,2,2,3,3,2,2,2,2,,,5,3.33333333333333,0,0,0.7,0.3
35,30.8639517804067,26.3275622902875,1,6,0,3,6,2,0,0,2,2,0,3,2,2,2,2,1.66666666666667,,5.83333333333333,5,0.3,0,0.6,0.1
